dm_desc	frequency
N-terminal Tags	31758
Proteasome beta subunit (catalytic)	12943
C-terminal Tags	11997
Proteasome alpha subunit (non-catalytic)	10392
Ribulose 1,5-bisphosphate carboxylase-oxygenase	2589
Influenza hemagglutinin (stalk)	2296
Lactate dehydrogenase	1884
Hemagglutinin	1814
Hemoglobin, alpha-chain	1612
Dodecameric ferritin homolog	1610
(Apo)ferritin	1580
Immunoglobulin heavy chain variable domain, VH	1558
Class I MHC, alpha-1 and alpha-2 domains	1523
Hemoglobin, beta-chain	1439
Human immunodeficiency virus type 1 protease	1426
Class I MHC, alpha-3 domain	1409
Immunoglobulin heavy chain gamma constant domain 1, CH1-gamma	1390
Immunoglobulin light chain kappa variable domain, VL-kappa	1257
beta2-microglobulin	1231
Glyceraldehyde-3-phosphate dehydrogenase (GAPDH)	1112
Bacterioferritin (cytochrome b1)	1108
Ubiquitin	1099
Immunoglobulin light chain kappa constant domain, CL-kappa	1049
Cu,Zn superoxide dismutase, SOD	1014
Transthyretin (synonym: prealbumin)	943
Nitric oxide (NO) synthase oxygenase domain	915
Clp protease, ClpP subunit	872
Aldehyde reductase (dehydrogenase), ALDH	820
Stathmin 4	788
Microphage migration inhibition factor (MIF)	746
Averaged rigor crossbridges from tomograms of insect flight muscle	744
T-cell antigen receptor	731
Mitochondrial cytochrome c oxidase, subunit I	728
Histone H4	712
Enoyl-ACP reductase	688
Uridine phosphorylase	683
Protocatechuate-3,4-dioxygenase, beta chain	682
Legume lectin	666
Thrombin	664
Glutamate dehydrogenase	640
Insulin	622
Dihydropteridin reductase (pteridine reductase)	597
Cytochrome c oxidase	568
Rhinovirus coat proteins	561
Mitochondrial cytochrome c oxidase, subunit III	540
Nucleoside diphosphate kinase, NDK	520
4-oxalocrotonate tautomerase	515
Asparaginase type II	489
Streptavidin	486
HIV-1 reverse transcriptase	477
Azurin	476
Mitochondrial cytochrome c oxidase, subunit II	470
Calmodulin	458
Glutamine synthetase, C-terminal domain	456
Glutamine synthetase, N-terminal domain	456
Alcohol dehydrogenase	448
(3R)-hydroxymyristoyl ACP dehydrase FabZ	444
Elongin C	436
GTP cyclohydrolase I	425
Arginase	423
Mitochondrial cytochrome c oxidase subunit VIa	422
Histone H3	421
Glutamate receptor ligand binding core	420
Cholera toxin	415
Triosephosphate isomerase	406
Lumazine synthase	404
Lysozyme	404
Cyclin-dependent PK, CDK2	403
Cytochrome b562	402
Tumor necrosis factor (TNF)	398
Fructose-1,6-bisphosphate aldolase	384
Heat-labile toxin	381
Disulfide-bond formation facilitator (DsbA)	379
Fe superoxide dismutase (FeSOD)	368
Verotoxin-1/shiga-toxin, B-pentamer	367
Class pi GST	367
Purine nucleoside phosphorylase, PNP	364
Mn superoxide dismutase (MnSOD)	360
Mitochondrial NAD(P)-dependent malic enzyme	356
Catalytic domain of cyclic nucleotide phosphodiesterase pde4d	355
Tubulin tyrosine ligase (TTL) N-terminal domain	352
Spike protein S1	352
Cyclin A	352
HslV (ClpQ) protease	349
Archaeal homoheptameric Sm protein	348
Histone H2A	345
Calcyclin (S100)	344
Mitochondrial cytochrome c oxidase subunit IV	342
F1 ATP synthase beta subunit, domain 1	339
Central domain of beta subunit of F1 ATP synthase	339
F1 ATP synthase beta subunit, domain 3	339
Trp RNA-binding attenuation protein (TRAP)	334
beta-secretase (memapsin)	333
Tubulin tyrosine ligase (TTL) C-terminal domain	330
Exosome complex exonuclease 1, ECX1	328
Influenza neuraminidase	327
(alpha,gamma)-chymotrypsin(ogen)	325
Nitrogenase iron-molybdenum protein, beta chain	325
Class alpha GST	324
D-xylose isomerase	324
GroEL, A domain	324
Mitochondrial cytochrome c oxidase subunit VIc	324
Class II MHC beta chain, C-terminal domain	323
GCN4	322
Complete 12-subunit RNA polymerase II complex	321
beta-Galactosidase, domain 3	320
beta-Galactosidase, domains 2 and 4	320
beta-Galactosidase, domain 5	320
beta-Galactosidase	320
Class II MHC beta chain, N-terminal domain	319
GroEL, I domain	316
GroEL, E domain	316
Dipeptidyl peptidase IV/CD26, N-terminal domain	314
Class II MHC alpha chain, C-terminal domain	310
Class II MHC alpha chain, N-terminal domain	303
Thymidylate synthase	302
Coronavirus main proteinase (3Cl-pro, putative coronavirus nsp2)	299
Trypsin(ogen)	299
Peroxisome proliferator activated receptor gamma, PPAR-gamma	299
Estrogen receptor alpha	296
Cytochrome c oxidase subunit E	294
Jacalin	292
Coagulation factor VIIa	288
Non-hem ferritin	281
Carbonic anhydrase	279
Nickel-containing superoxide dismutase, NiSOD	278
Histone H2B	275
Concanavalin A	271
Photosynthetic reaction centre	264
Photosystem II reaction centre subunit H, transmembrane region	264
Type II 3-dehydroquinate dehydratase	262
Multidrug binding protein QacR	260
Ubiquitin conjugating enzyme, UBC	260
Alpha chain	260
Cytochrome P450 bm-3	259
Noncollagenous (NC1) domain of collagen IV	258
Pleiotropic translational regulator Hfq	256
Nonstructural protein 10, NSP10	256
AMPC beta-Lactamase, class C	254
S-adenosylhomocystein hydrolase	252
Benzoylformate decarboxylase	252
RPB3	250
Nitrite reductase, NIR, C-terminal domain	249
Nitrite reductase, NIR, N-terminal domain	249
Pyruvate kinase, N-terminal domain	248
Pyruvate kinase, C-terminal domain	248
PA-IL, galactose-binding lectin 1	246
11-beta-hydroxysteroid dehydrogenase 1	244
Acetylcholine binding protein (ACHBP)	242
Green fluorescent protein, GFP	242
Pyruvate kinase (PK)	242
Phycocyanin alpha subunit	240
Mitochondrial cytochrome b subunit, C-terminal domain	239
Mitochondrial cytochrome b subunit, N-terminal domain	239
Cytochrome c1 subunit of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase), transmembrane anchor	237
Cytochrome bc1 domain	237
Poliovirus coat proteins	234
Methane monooxygenase hydrolase beta subunit	234
Chaperonin-10 (GroES)	231
Aspartate carbamoyltransferase	229
Aspartate carbamoyltransferase, Regulatory-chain, C-terminal domain	229
Delta-5-3-ketosteroid isomerase, steroid delta-isomerase, KSI	228
Alpha-amino acid ester hydrolase	228
Carboxyethylarginine synthase	228
Cytochrome c oxidase subunit h	228
Soluble part of TALL-1, sTALL-1 (BAFF)	223
Adenovirus fiber protein 'knob' domain	222
Monoamine oxidase B	220
UDP-N-acetylglucosamine enolpyruvyl transferase (EPT, MurA, MurZ)	218
F1 ATP synthase gamma subunit	218
Viral RNA polymerase	217
Pre-mRNA splicing factor 8, Prp8 / Spp42	217
VHL	217
Ran	215
Malate dehydrogenase	214
Thy1 homologue	213
Mitochondrial cytochrome c oxidase subunit VIIa	212
Methane monooxygenase hydrolase alpha subunit	212
Acetylcholinesterase	212
Fructose-1,6-bisphosphatase	210
Thioredoxin	210
L (light) subunit	209
M (medium) subunit	209
Iron-sulfur subunit (ISP) of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase), transmembrane region	209
Beta chain	208
EGF receptor tyrosine kinase, Erbb-1	206
Ubiquinone-binding protein QP-C of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)	205
Protein farnesyltransferase alpha-subunit	205
p3 shell	204
Tricorn protease	204
C-reactive protein (CRP)	204
Dipeptidyl peptidase IV/CD26, C-terminal domain	204
ISP subunit of the mitochondrial cytochrome bc1-complex, water-soluble domain	203
HIV-1 capsid protein	203
RmlA (RfbA)	202
Cytochrome bc1 core subunit 1	198
Pancreatic trypsin inhibitor, BPTI	198
Cytochrome c oxidase Subunit F	198
Immunoglobulin heavy chain gamma constant domain 3, CH3-gamma	196
Catalase, C-terminal domain	196
Aspartate carbamoyltransferase catalytic subunit	194
Catalase II	194
Uncharacterized protein BH0493	192
Biosynthetic thiolase, N-terminal domain	192
Biosynthetic thiolase, C-terminal domain	192
Catechol O-methyltransferase, COMT	192
Mitochondrial cytochrome c oxidase subunit VIIc (aka VIIIa)	192
Enolase	190
Homoprotocatechuate 2,3-dioxygenase	188
Class mu GST	188
Alkyl hydroperoxide reductase AhpC	186
RBP1	186
Protocatechuate-3,4-dioxygenase, alpha chain	183
Snake phospholipase A2	183
Deoxycytidine triphosphate deaminase (dCTP deaminase)	182
Fibrinogen C-terminal domains	180
Class sigma GST	180
Mitochondrial cytochrome c	178
JMJD2A core	177
Nitrogenase iron-molybdenum protein, alpha chain	177
Nicotinamide mononucleotide (NMN) adenylyltransferase	176
The homologous-pairing domain of Rad52 recombinase	176
Elongin B	175
Fumarate reductase	174
Mitochondrial cytochrome c oxidase subunit VIIIb (aka IX)	174
Actin	173
MDM2	172
Photosystem II reaction center protein L, PsbL	171
beta1-subunit of the signal-transducing G protein heterotrimer	171
CD1, alpha-1 and alpha-2 domains	169
Apoptosis regulator Bcl-xL	168
Catalase I	168
Immunoglobulin light chain lambda variable domain, VL-lambda	168
Bacterial secondary alcohol dehydrogenase	168
Protein farnesyltransferase, beta-subunit	168
Mannose-binding protein A, C-lectin domain	168
Central domain of alpha subunit of F1 ATP synthase	167
F1 ATP synthase alpha subunit, domain 3	167
F1 ATP synthase alpha subunit, domain 1	167
Manganese-stabilising protein, PsbO	167
Immunoglobulin heavy chain gamma constant domain 2, CH2-gamma	166
3-deoxy-D-manno-octulosonate 8-phosphate synthase (KDO8P synthase)	166
Surfactant protein	166
EAT/MCL-1 (Myeloid cell leukemia sequence 1)	165
Copper amine oxidase, domain 3	164
