Year	Count	Cumulative
1973	1	1
1975	9	10
1976	8	18
1977	2	20
1979	7	27
1980	5	32
1981	4	36
1982	29	65
1983	5	70
1984	38	108
1985	14	122
1986	3	125
1987	23	148
1988	103	251
1989	179	430
1990	139	569
1991	300	869
1992	397	1266
1993	550	1816
1994	912	2728
1995	1047	3775
1996	1323	5098
1997	2088	7186
1998	2593	9779
1999	2773	12552
2000	3957	16509
2001	4786	21295
2002	5542	26837
2003	7286	34123
2004	8839	42962
2005	9338	52300
2006	10960	63260
2007	12934	76194
2008	12252	88446
2009	18747	107193
2010	18471	125664
2011	19366	145030
2012	20087	165117
2013	28629	193746
2014	33204	226950
2015	33738	260688
2016	39413	300101
2017	42294	342395
2018	51515	393910
2019	69780	463690
2020	89311	553001
2021	92080	645081
2022	35008	680089
