Year	Count	Cumulative
1973	1	1
1975	2	3
1976	5	8
1977	2	10
1979	3	13
1980	3	16
1981	4	20
1982	14	34
1983	5	39
1984	14	53
1985	5	58
1986	3	61
1987	6	67
1988	25	92
1989	51	143
1990	64	207
1991	106	313
1992	174	487
1993	241	728
1994	314	1042
1995	415	1457
1996	483	1940
1997	712	2652
1998	833	3485
1999	1004	4489
2000	1266	5755
2001	1472	7227
2002	1546	8773
2003	2192	10965
2004	2603	13568
2005	2852	16420
2006	3341	19761
2007	3910	23671
2008	3702	27373
2009	4484	31857
2010	4691	36548
2011	4742	41290
2012	5244	46534
2013	5780	52314
2014	5526	57840
2015	5932	63772
2016	6151	69923
2017	7268	77191
2018	6678	83869
2019	7968	91837
2020	8894	100731
2021	8555	109286
2022	4061	113347
